DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;P6160;P8586;P6218;P8587;P8587S1;P6211;P5455;P1088;P1088S1;P6216;P5457;P5673;P5674;P6223;P1101;P5461;P5461S1;P5461S2;P5461S3;P4693;P6167;P6180;P6180S1;P6180S2;P8610;P8610S1;P8610S2;P6229;P6229S1;P8612;P8612S1;P8612S2;P6238;P8614;P8614S1;P8614S2;P6202;P781;P781S1;P781S2;P782;P783;LLAVEHOG;FEX_C
6013041;2;1;2;1;2; ;3;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60130411;349,209616328648
6013041;3;1;3;1;2;3;4;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60130411;349,209616328648
6013041;4;1;4;1;2;3;3;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60130411;349,209616328648
6013041;5;1;5;2;1; ; ; ; ; ;1;1; ; ;1; ;1;1; ;2;2;2;4;10;1;0;4000;2; ; ; ; ;2; ; ; ;2; ; ; ;1;1; ; ; ;60130411;349,209616328648
6013043;1;1;1;1;2; ;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60130431;267,995697214969
6013044;1;1;1;1;2; ;5;11; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60130441;273,514982124035
6013044;2;1;2;1;2; ;3;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60130441;273,514982124035
6013044;3;1;3;1;1; ; ; ; ; ;7;1;0;1;2; ;1; ; ; ; ; ;3;40;2; ; ;2; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ;60130441;273,514982124035
6013047;1;1;1;1;2; ;3;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60130471;316,049513288868
6013047;2;1;2;1;2; ;4;7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60130471;316,049513288868
6013047;3;1;3;1;1; ; ; ; ; ;4;11; ;2;1; ;1;1; ;2;2;2;4;5;2; ; ;2; ; ; ; ;2; ; ; ;2; ; ; ;4; ; ; ; ;60130471;316,049513288868
6013047;4;1;4;1;1; ; ; ; ; ;3;9; ; ;1; ;1;1; ;2;2;2;4;5;1;0;1200;2; ; ; ; ;2; ; ; ;2; ; ; ;1;2; ; ; ;60130471;316,049513288868
6013052;1;1;1;1;2;9;4;9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60130521;335,158434552507
6013052;2;1;2;1;2;5;5;11; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60130521;335,158434552507
6013053;1;1;1;1;2; ;3;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60130531;278,597978451017
6013053;2;1;2;1;2; ;3;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60130531;278,597978451017
6013053;3;1;3;1;1; ; ; ; ; ;7;3;2;3;2; ;1; ; ; ; ; ;3;120;2; ; ;2; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ;60130531;278,597978451017
6013055;1;1;1;1;2; ;3;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60130551;189,501077747188
6013055;2;1;2;1;2; ;11;5;5;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60130551;189,501077747188
6013055;3;1;3;1;2; ;3;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60130551;189,501077747188
6013056;1;1;1;1;2;3;5;11; ;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60130561;345,196511544926
6013056;2;1;2;1;1; ; ; ; ; ;2;2; ; ;1; ;1;1; ;2;2;2;6;5;1;0;4000;2; ; ; ; ;2; ; ; ;2; ; ; ;2; ;2;25;3;60130561;345,196511544926
6013056;3;1;3;1;2;3;5;11; ;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60130561;345,196511544926
6013058;1;1;1;1;2; ;9;2;2;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60130581;248,955759905534
6013062;1;1;1;2;2; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60130621;278,597978451017
6013062;2;1;2;1;2; ;3;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60130621;278,597978451017
6013062;3;1;3;1;2;10;3;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60130621;278,597978451017
6013063;1;1;1;1;2; ;9;3;3;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60130631;288,386721953365
6013063;2;1;2;1;2; ;9;3;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60130631;288,386721953365
6013064;1;1;1;2;2; ;3;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60130641;258,263322480307
6013064;2;1;2;1;2; ;3;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60130641;258,263322480307
6013064;3;1;3;1;2; ;5;11; ;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60130641;258,263322480307
6013064;4;1;4;1;1; ; ; ; ; ;3;6; ; ;1; ;1;1; ;2;2;2;4;5;1;100;3000;2; ; ; ; ;2; ; ; ;2; ; ; ;1;3; ; ; ;60130641;258,263322480307
6013065;1;1;1;1;2; ;13;5;10;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60130651;306,14807881327
6013065;2;1;2;1;2; ;5;11; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60130651;306,14807881327
6013065;3;1;3;1;1; ; ; ; ; ;4;11; ;2;1; ;2;1; ;1;1;1;1;60;1;0;5000;2; ; ; ; ;2; ; ; ;2; ; ; ;1;2; ; ; ;60130651;306,14807881327
6013066;1;1;1;1;2; ;7;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60130661;385,518381242847
6013066;2;1;2;1;2;3;5;11; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60130661;385,518381242847
6013066;3;1;3;1;2; ;3;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60130661;385,518381242847
6013066;1;2;1;1;2; ;3;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60130662;385,518381242847
6013066;2;2;2;1;2;4;3;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60130662;385,518381242847
6013066;3;2;3;1;1; ; ; ; ; ;3;8; ; ;1; ;1;1; ;2;2;2;4;10;1;100;3000;2; ; ; ; ;2; ; ; ;2; ; ; ;1;2; ; ; ;60130662;385,518381242847
6013066;4;2;4;1;1; ; ; ; ; ;3;6; ; ;1; ;1;1; ;2;2;2;4;10;1;100;3000;2; ; ; ; ;2; ; ; ;2; ; ; ;1;2; ; ; ;60130662;385,518381242847
6013067;1;1;1;1;2; ;5;11; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60130671;362,534264624447
6013067;2;1;2;1;2; ;5;10; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60130671;362,534264624447
6013067;3;1;3;1;1; ; ; ; ; ;2;5; ; ;1; ;1;1; ;2;2;2;4;5;1;0;2000;2; ; ; ; ;2; ; ; ;2; ; ; ;1;2; ; ; ;60130671;362,534264624447
6013068;1;1;1;1;2; ;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60130681;302,156996930124
6013069;1;1;1;1;2;9;5;11; ;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60130691;459,874569328527
6013069;2;1;2;1;2;5;10;2;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60130691;459,874569328527
6013069;3;1;3;1;1; ; ; ; ; ;2;3; ; ;1; ;1;1; ;2;2;2;4;8;1;100;3000;2; ; ; ; ;2; ; ; ;2; ; ; ;1;2; ; ; ;60130691;459,874569328527
6013070;1;1;1;1;2; ;13;1;12;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60130701;285,389562629296
6013070;2;1;2;1;2; ;5;11; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60130701;285,389562629296
6013071;1;1;1;1;2; ;4;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60130711;285,389562629296
6013071;2;1;2;1;2; ;3;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60130711;285,389562629296
6013072;1;1;1;1;2; ;11;5;5;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60130721;314,110746532018
6013072;2;1;2;1;2; ;5;11; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60130721;314,110746532018
6013072;3;1;3;1;1; ; ; ; ; ;4;10; ;1;1; ;1;1; ;2;2;2;4;5;1;100;2500;2; ; ; ; ;2; ; ; ;2; ; ; ;1;2; ; ; ;60130721;314,110746532018
6013073;1;1;1;1;2; ;13;1;6;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60130731;325,147257084708
6013073;2;1;2;1;2; ;5;11; ;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60130731;325,147257084708
6013074;1;1;1;1;2; ;4;8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60130741;350,754700226534
6013074;2;1;2;1;2;2;7;3;3;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60130741;350,754700226534
6013074;3;1;3;1;1; ; ; ; ; ;3;7; ; ;1; ;1;1; ;2;2;2;4;5;1;200;1000;2; ; ; ; ;2; ; ; ;2; ; ; ;1;2; ; ; ;60130741;350,754700226534
6013074;4;1;4;1;1; ; ; ; ; ;2;4; ; ;1; ;1;1; ;2;2;2;4;5;1;200;1000;2; ; ; ; ;2; ; ; ;2; ; ; ;1;2; ; ; ;60130741;350,754700226534
6013075;1;1;1;1;2; ;13;3;8;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60130751;335,655474016817
6013076;1;1;1;1;2; ;13;5;14;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60130761;251,891085542603
6013076;2;1;2;2;2; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60130761;251,891085542603
6013077;1;1;1;1;2;3;5;11; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60130771;415,267947915262
6013077;2;1;2;1;2;4;5;11; ;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60130771;415,267947915262
6013078;1;1;1;1;2; ;5;11; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60130781;306,070301503204
6013078;2;1;2;1;2; ;5;11; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60130781;306,070301503204
6013078;3;1;3;1;2;3;5;11; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4; ; ; ; ;60130781;306,070301503204
6013078;1;2;1;1;2;9;5;11; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60130782;306,070301503204
6013078;2;2;2;1;1; ; ; ; ; ;3;7; ; ;1; ;1;1; ;2;2;2;4;5;1;100;4000;2; ; ; ; ;2; ; ; ;2; ; ; ;1;1; ; ; ;60130782;306,070301503204
6013079;1;1;1;1;2;3;11;5;5;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60130791;246,344192732874
6013079;2;1;2;1;1; ; ; ; ; ;1;3; ; ;1; ;1;1; ;2;2;2;4;5;1;0;3500;2; ; ; ; ;2; ; ; ;2; ; ; ;2; ;2;53;1;60130791;246,344192732874
6013079;3;1;3;1;2; ;5;11; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60130791;246,344192732874
6013080;1;1;1;1;2; ;13;1;6;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60130801;263,844835144497
6013080;2;1;2;1;2;10;5;11; ;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60130801;263,844835144497
6013080;3;1;3;1;2; ;3;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60130801;263,844835144497
6013080;4;1;4;2;2; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60130801;263,844835144497
6013081;1;1;1;1;2; ;7;2;5;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60130811;239,264144208868
6013081;2;1;2;1;2; ;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60130811;239,264144208868
6013081;1;2;1;1;2;9;7;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60130812;239,264144208868
6013081;2;2;2;1;1; ; ; ; ; ;3;6; ; ;1; ;1;1; ;2;2;2;4;5;1;100;2000;2; ; ; ; ;2; ; ; ;2; ; ; ;2; ;2;56;1;60130812;239,264144208868
6013081;3;2;3;2;1; ; ; ; ; ;1;3; ; ;1; ;1;1; ;2;2;2;4;5;1;200;4000;2; ; ; ; ;2; ; ; ;2; ; ; ;2; ;2;56;1;60130812;239,264144208868
6013082;1;1;1;1;2; ;5;11; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60130821;306,297489897216
6013082;2;1;2;1;1; ; ; ; ; ;4;11; ;4;1; ;1;1; ;2;2;2;4;5;1;100;5000;2; ; ; ; ;2; ; ; ;2; ; ; ;1;1; ; ; ;60130821;306,297489897216
6013082;3;1;3;2;1; ; ; ; ; ;1;3; ; ;1; ;1;1; ;2;2;2;4;5;1;100;5000;2; ; ; ; ;2; ; ; ;2; ; ; ;1;2; ; ; ;60130821;306,297489897216
6013083;1;1;1;1;2; ;5;11; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60130831;393,723220430463
6013083;2;1;2;1;2; ;3;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60130831;393,723220430463
6013083;3;1;3;1;1; ; ; ; ; ;7;4;6;4;2; ;1; ; ; ; ; ;1;60;2; ; ;2; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ;60130831;393,723220430463
6013083;4;1;4;1;2;3;7;2;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60130831;393,723220430463
6013083;5;1;5;1;1; ; ; ; ; ;2;1; ; ;1; ;1;1; ;2;2;2;4;5;1;200;1000;2; ; ; ; ;2; ; ; ;2; ; ; ;1;4; ; ; ;60130831;393,723220430463
6013084;1;1;1;1;2;3;9;3;4;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60130841;349,266010101145
6013084;2;1;2;1;1; ; ; ; ; ;3;9; ; ;1; ;1;1; ;2;2;2;4;5;1;100;5000;2; ; ; ; ;2; ; ; ;2; ; ; ;1;1; ; ; ;60130841;349,266010101145
6013084;3;1;3;1;1; ; ; ; ; ;3;7; ; ;1; ;1;1; ;2;2;2;4;5;1;100;5000;2; ; ; ; ;2; ; ; ;2; ; ; ;1;1; ; ; ;60130841;349,266010101145
6013084;4;1;4;1;1; ; ; ; ; ;2;2; ; ;1; ;1;1; ;2;2;2;4;15;1;100;5000;2; ; ; ; ;2; ; ; ;2; ; ; ;1;1; ; ; ;60130841;349,266010101145
6013085;1;1;1;1;2;4;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60130851;325,296668168654
6013086;1;1;1;1;2; ;3;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60130861;329,846772958615
6013086;2;1;2;1;2; ;5;13; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60130861;329,846772958615
6013086;3;1;3;1;2; ;3;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60130861;329,846772958615
6013087;1;1;1;1;2; ;3;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60130871;335,655474016817
6013088;1;1;1;1;2; ;4;9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60130881;436,031742171728
6013088;2;1;2;1;1; ; ; ; ; ;3;9; ; ;1; ;1;1; ;2;2;2;4;5;1;200;3000;2; ; ; ; ;2; ; ; ;2; ; ; ;1;1; ; ; ;60130881;436,031742171728
6013088;3;1;3;1;1; ; ; ; ; ;3;7; ; ;1; ;1;1; ;2;2;2;4;5;1;200;2000;2; ; ; ; ;2; ; ; ;2; ; ; ;1;2; ; ; ;60130881;436,031742171728
6013089;1;1;1;1;2; ;5;11; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60130891;302,156996930124
6013090;1;1;1;1;2; ;5;11; ;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60130901;484,455260264156
6013090;2;1;2;1;1; ; ; ; ; ;4;10; ;4;1; ;1;1; ;2;2;2;4;5;1;200;3000;2; ; ; ; ;2; ; ; ;2; ; ; ;2; ;2;50;3;60130901;484,455260264156
6013090;3;1;3;1;1; ; ; ; ; ;2;3; ; ;1; ;1;1; ;2;2;2;1;5;1;200;3000;2; ; ; ; ;2; ; ; ;2; ; ; ;2; ;2;36;10;60130901;484,455260264156
6013091;1;1;1;1;1; ; ; ; ; ;7;4;4;4;2; ;1; ; ; ; ; ;1;90;2; ; ;2; ; ; ; ;2; ; ; ;2; ; ; ; ; ; ; ; ;60130911;356,87497465019
6013091;2;1;2;1;2;2;5;11; ;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60130911;356,87497465019
6013091;3;1;3;2;1; ; ; ; ; ;1;3; ; ;1; ;1;1; ;2;2;2;4;5;1;200;3000;2; ; ; ; ;2; ; ; ;2; ; ; ;1;5; ; ; ;60130911;356,87497465019
6013091;5;1;5;1;2; ;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60130911;356,87497465019
6013092;1;1;1;1;2; ;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60130921;414,360499911237
6013092;2;1;2;1;2; ;4;8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60130921;414,360499911237
6013092;3;1;3;1;1; ; ; ; ; ;2;5; ; ;1; ;1;1; ;2;2;2;4;5;1;100;3000;2; ; ; ; ;2; ; ; ;2; ; ; ;1;2; ; ; ;60130921;414,360499911237
6013092;4;1;4;1;1; ; ; ; ; ;2;2; ; ;1; ;1;1; ;2;2;2;4;5;1;100;3000;2; ; ; ; ;2; ; ; ;2; ; ; ;1;2; ; ; ;60130921;414,360499911237
6013093;1;1;1;1;2; ;5;11; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60130931;300,488788839014
6013093;2;1;2;1;2; ;4;7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60130931;300,488788839014
6013093;3;1;3;1;2;10;5;11; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60130931;300,488788839014
6013093;4;1;4;1;2;9;7;2;4;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60130931;300,488788839014
6013094;1;1;1;1;2; ;4;9; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60130941;419,942012575428
6013094;2;1;2;1;2;2;7;2;2;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60130941;419,942012575428
6013094;3;1;3;1;1; ; ; ; ; ;3;8; ; ;1; ;1;1; ;2;2;2;4;8;1;200;2500;2; ; ; ; ;2; ; ; ;2; ; ; ;1;2; ; ; ;60130941;419,942012575428
6013094;4;1;4;1;1; ; ; ; ; ;2;5; ; ;1; ;1;1; ;2;2;2;4;8;1;200;2000;2; ; ; ; ;2; ; ; ;2; ; ; ;1;2; ; ; ;60130941;419,942012575428
6013095;1;1;1;1;2; ;5;11; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60130951;325,147257084708
6013095;2;1;2;1;2; ;5;11; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60130951;325,147257084708
6013096;1;1;1;1;2; ;5;11; ;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60130961;345,766830323619
6013096;2;1;2;1;2; ;13;2;7;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;60130961;345,766830323619
6013096;3;1;3;1;1; ; ; ; ; ;2;5; ; ;1; ;1;1; ;2;2;2;4;7;1;100;3000;2; ; ; ; ;2; ; ; ;2; ; ; ;1;2; ; ; ;60130961;345,766830323619
