year,cod_dpto,alive,fetal,no_fetal,deaths,Total,fetal_percapita,no_fetal_percapita,alive_percapita,deaths_percapita,DPNOM,Total pregnan,prob_alive,prob_fetal,prob_no_fetal
2013,41,20732,2770,205,2975,1076046,0.25742393912527906,0.01905123015187083,1.9266834317492003,0.2764751692771499,Huila,23707,0.8745096385033956,0.11684312650272072,0.008647234993883663
2014,41,20173,2648,220,2868,1081576,0.24482791777924065,0.020340688033018483,1.8651486349549176,0.26516860581225915,Huila,23041,0.8755262358404583,0.11492556746668982,0.009548196692851873
2015,41,19543,2497,186,2683,1086659,0.22978689726952062,0.017116685179067215,1.7984482712608094,0.24690358244858782,Huila,22226,0.8792855214613515,0.11234590119679655,0.008368577341851886
2016,41,19435,2664,204,2868,1090990,0.24418188984316996,0.018698613186188692,1.7814095454587118,0.26288050302935867,Huila,22303,0.8714074339774918,0.11944581446442183,0.009146751558086356
2017,41,19689,2493,183,2676,1093975,0.22788454946411024,0.016727987385452135,1.7997669050938092,0.24461253684956238,Huila,22365,0.8803487592219986,0.11146881287726358,0.00818242790073776
2008,44,12725,149,237,386,628905,0.023691972555473402,0.03768454695065233,2.0233580588483155,0.06137651950612573,La Guajira,13111,0.970559072534513,0.011364503089009229,0.018076424376477766
2009,44,12608,148,257,405,649933,0.022771577993423938,0.03954253746155373,1.939892265818169,0.06231411545497767,La Guajira,13013,0.9688772765695842,0.011373242142472912,0.019749481287942825
2010,44,12167,150,221,371,670808,0.02236109289096135,0.032945343526016385,1.813782781362178,0.05530643641697774,La Guajira,12538,0.9704099537406284,0.011963630563088213,0.017626415696283298
2011,44,12676,284,251,535,691488,0.041070850108750986,0.03629853301864964,1.8331482252765052,0.07736938312740062,La Guajira,13211,0.959503444099614,0.021497237150859133,0.01899931874952691
2012,44,13254,210,247,457,712422,0.029476911156589774,0.03467046216989369,1.8604141927116231,0.06414737332648346,La Guajira,13711,0.9666690978046824,0.015316169498942454,0.018014732696375175
2013,44,13165,147,242,389,733953,0.02002853043723508,0.032972138542931226,1.7937115864367337,0.0530006689801663,La Guajira,13554,0.9712999852442084,0.010845506861443116,0.01785450789434853
2014,44,14688,149,264,413,755815,0.019713818857789275,0.03492918240574744,1.9433326938470392,0.05464300126353671,La Guajira,15101,0.972650817826634,0.009866896232037613,0.01748228594132839
2015,44,15265,189,240,429,778983,0.024262403672480656,0.030809401488864328,1.9596063071979748,0.05507180516134499,La Guajira,15694,0.9726647126290302,0.012042818911685994,0.015292468459283802
2016,44,16031,215,298,513,806803,0.02664838876404773,0.036935906286912665,1.9869782338439494,0.0635842950509604,La Guajira,16544,0.9689917794970987,0.012995647969052225,0.01801257253384913
2017,44,17677,232,286,518,839302,0.027642016818737476,0.03407593452654706,2.1061548763138895,0.06171795134528454,La Guajira,18195,0.9715306402857928,0.012750755702115965,0.015718604012091235
2008,47,22327,217,409,626,1205692,0.01799796299552456,0.033922427950090074,1.851799630419709,0.05192039094561463,Magdalena,22953,0.9727268766610029,0.009454101860323269,0.017819021478673813
2009,47,22770,224,400,624,1219122,0.01837387890629486,0.03281049804695511,1.8677376013229192,0.05118437695324996,Magdalena,23394,0.9733264939728136,0.009575104727707959,0.0170984012994785
2010,47,21175,181,314,495,1231539,0.014697057908844137,0.025496553499320767,1.7193933769048322,0.04019361140816491,Magdalena,21670,0.9771573604060914,0.008352561144439318,0.014490078449469312
2011,47,22718,324,317,641,1242844,0.026069241191975824,0.025506016845235603,1.8279043870348974,0.05157525803721143,Magdalena,23359,0.9725587567960957,0.013870456783252707,0.013570786420651569
2012,47,23511,563,329,892,1253378,0.04491861194308501,0.02624906452801948,1.8758108088701093,0.07116767647110449,Magdalena,24403,0.9634471171577265,0.02307093390156948,0.013481948940704012
2013,47,22989,819,348,1167,1263418,0.06482415162677752,0.027544328163758947,1.8195878165421104,0.09236847979053646,Magdalena,24156,0.9516890213611525,0.03390461997019374,0.014406358668653751
2014,47,22836,951,316,1267,1272648,0.0747260829388802,0.024830117990206246,1.7943689064061705,0.09955620092908644,Magdalena,24103,0.9474339293863835,0.03945566941874455,0.013110401194872008
2015,47,22242,959,291,1250,1281842,0.0748142126720766,0.022701705826459112,1.7351592473955448,0.0975159184985357,Magdalena,23492,0.946790396730802,0.04082240762812873,0.0123871956410693
