year,cod_dpto,alive,fetal,no_fetal,deaths,Total,fetal_percapita,no_fetal_percapita,alive_percapita,deaths_percapita,DPNOM,Total pregnan,prob_alive,prob_fetal,prob_no_fetal
2016,20,20701,457,309,766,1127772,0.04052237509000046,0.027399155148381055,1.8355660541315089,0.06792153023838152,Cesar,21467,0.9643173242651512,0.021288489309172216,0.01439418642567662
2017,20,20504,318,298,616,1156930,0.027486537647048656,0.025757824587485847,1.7722766286637912,0.0532443622345345,Cesar,21120,0.9708333333333333,0.015056818181818182,0.014109848484848486
2008,23,26011,1969,449,2418,1593252,0.12358371431512404,0.02818135486413951,1.6325728761049727,0.15176506917926355,Córdoba,28429,0.9149460058391079,0.0692602624081044,0.015793731752787647
2009,23,25445,1599,505,2104,1615297,0.09899108337352203,0.031263600440042914,1.57525210534038,0.13025468381356495,Córdoba,27549,0.9236269919053323,0.05804203419361864,0.01833097390104904
2010,23,23092,1879,360,2239,1636683,0.11480537159608795,0.02199570717115043,1.410902416656127,0.13680107876723838,Córdoba,25331,0.9116102798942007,0.07417788480517942,0.014211835300619794
2011,23,27363,2543,409,2952,1657170,0.15345438307475998,0.02468063023105656,1.6511884719129601,0.17813501330581655,Córdoba,30315,0.9026224641266699,0.0838858650832921,0.013491670790037935
2012,23,28150,2699,445,3144,1676670,0.16097383504207746,0.026540702702380313,1.6789231035325973,0.18751453774445775,Córdoba,31294,0.899533456892695,0.08624656483670991,0.014219978270595002
2013,23,26864,2613,418,3031,1695139,0.1541466511005882,0.02465874479909907,1.5847667949354005,0.17880539589968727,Córdoba,29895,0.8986118079946479,0.08740592072252885,0.013982271282823214
2014,23,27291,2792,416,3208,1712397,0.16304630293092082,0.024293431955323443,1.5937308930113754,0.18733973488624425,Córdoba,30499,0.8948162234827371,0.09154398504869012,0.01363979146857274
2015,23,26295,2500,431,2931,1728524,0.1446320675906149,0.024934568452622007,1.5212400869180873,0.16956663604323688,Córdoba,29226,0.8997125846848696,0.0855402723602272,0.014747142954903168
2016,23,25919,2873,392,3265,1744183,0.16471895437577364,0.022474705922486345,1.4860252622574581,0.18719366029825998,Córdoba,29184,0.8881236293859649,0.09844435307017543,0.01343201754385965
2017,23,26668,3057,401,3458,1758886,0.1738031913381538,0.02279852133680068,1.5161869501491285,0.1966017126749545,Córdoba,30126,0.8852154285334927,0.10147380999800837,0.013310761468498971
2008,25,37247,2344,498,2842,2376773,0.09862111358552121,0.020952779251531384,1.5671248369112238,0.1195738928370526,Cundinamarca,40089,0.929107735288982,0.05846990446257078,0.012422360248447204
2009,25,35958,2498,426,2924,2414808,0.10344507720696636,0.01764115407933053,1.4890624844708151,0.12108623128629688,Cundinamarca,38882,0.9247981070932565,0.06424566637518646,0.010956226531557018
2010,25,34475,2649,379,3028,2455822,0.10786612384773815,0.01543271458599198,1.4038069534355504,0.12329883843373013,Cundinamarca,37503,0.9192597925499293,0.07063434925205983,0.010105858198010825
2011,25,33575,2620,386,3006,2499291,0.10482972971134613,0.015444380026175424,1.3433809828467353,0.12027410973752156,Cundinamarca,36581,0.9178261939258084,0.07162188021103852,0.010551925863153002
2012,25,34239,3180,410,3590,2545277,0.12493728580425628,0.016108266408724866,1.345197398947148,0.14104555221298115,Cundinamarca,37829,0.9050992624705914,0.08406249173914193,0.010838245790266727
2013,25,34281,3205,375,3580,2594392,0.12353568774495143,0.014454253636304768,1.3213500504164366,0.1379899413812562,Cundinamarca,37861,0.9054435963128286,0.0846517524629566,0.009904651224214892
2014,25,34934,2903,322,3225,2646623,0.10968694823554394,0.01216644758244752,1.319946210699446,0.12185339581799146,Cundinamarca,38159,0.915485206635394,0.07607641709688409,0.008438376267721901
2015,25,35949,2978,349,3327,2702705,0.11018590634197961,0.012912989023959329,1.330111869404911,0.12309889536593895,Cundinamarca,39276,0.9152917812404522,0.07582238517160607,0.008885833587941745
2016,25,35594,2751,403,3154,2765620,0.09947136627591643,0.01457177775688634,1.2870170160759613,0.11404314403280277,Cundinamarca,38748,0.9186022504387323,0.07099721275936823,0.010400536801899453
2017,25,35771,2260,336,2596,2833801,0.07975154218662496,0.01185686644898495,1.262297529007859,0.09160840863560991,Cundinamarca,38367,0.9323376860322673,0.05890478796882738,0.00875752599890531
2008,27,5508,123,173,296,435933,0.028215345018615248,0.03968499746520681,1.2634969135165266,0.06790034248382205,Chocó,5804,0.9490006891798759,0.021192281185389388,0.029807029634734666
2009,27,5454,126,204,330,447513,0.028155606652767628,0.04558526791400473,1.218735545112656,0.07374087456677236,Chocó,5784,0.9429460580912863,0.021784232365145227,0.035269709543568464
2010,27,5564,136,188,324,458775,0.029644161081139993,0.04097869325922293,1.2127949430548743,0.07062285434036292,Chocó,5888,0.9449728260869565,0.02309782608695652,0.03192934782608696
